province,nb_missing,missing_data
Misamis Occidental,1,protection
Negros Oriental,1,protection
Aklan,2,"fap, far"
Marinduque,2,"fap, far"
Masbate,2,"fap, far"
Misamis Oriental,2,"fap, far"
Mountain Province,2,"fap, far"
Northern Samar,2,"fap, far"
Occidental Mindoro,2,"fap, far"
Zamboanga Del Norte,2,"fap, far"
Oriental Mindoro,2,"fap, far"
Quirino,2,"fap, far"
Romblon,2,"fap, far"
Sorsogon,2,"fap, far"
Southern Leyte,2,"fap, far"
Sulu,2,"fap, far"
Surigao Del Norte,2,"fap, far"
Tawi-Tawi,2,"fap, far"
Zambales,2,"fap, far"
Palawan,2,"fap, far"
Iloilo,2,"fap, far"
Leyte,2,"fap, far"
Eastern Samar,2,"fap, far"
Albay,2,"fap, far"
Antique,2,"fap, far"
Aurora,2,"fap, far"
Basilan,2,"fap, far"
Bataan,2,"fap, far"
Benguet,2,"fap, far"
Guimaras,2,"fap, far"
Bohol,2,"fap, far"
Biliran,2,"fap, far"
Camiguin,2,"fap, far"
Catanduanes,2,"fap, far"
Cavite,2,"fap, far"
Cebu,2,"fap, far"
Compostela Valley,2,"fap, far"
Davao Del Sur,2,"fap, far"
Davao Oriental,2,"fap, far"
Camarines Norte,2,"fap, far"
Zamboanga Sibugay,2,"fap, far"
Siquijor,3,"fap, far, protection"
Batanes,3,"fap, far, protection"
Surigao Del Sur,3,"fap, far, protection"
Dinagat Islands,7,"gdp_pc_pp, rel_gdp_pp, share1, fap, far, v_p, protection"
