id_1,pop_sum_adm,pop_flooded_adm,per_pop_flooded
1,279104,0,0
2,704064,70048.438,.099491574
3,798685,8112.8823,.010157799
4,556987,61929.047,.1111858
5,1455600,13530.88,.0092957402
6,669058,44141.035,.065974899
7,115576,0,0
8,221524,6587.6436,.029737832
9,450067,5707.6626,.012681806
10,711467,4568.708,.006421532
11,14069,.74121928,.000052684576
12,2510543,12635.115,.0050328216
13,781496,0,0
14,186233,14533.724,.07804054
15,1503745,57809.148,.038443454
16,1488065,259.76782,.00017456753
17,3603104,9565.3975,.002654766
18,1333340,28935.383,.021701429
19,631656,38504.563,.060958121
20,2076414,110380.75,.053159315
21,100544,3921.2517,.039000355
22,876490,44500.527,.050771289
23,288833,8529.752,.029531777
24,2450543,125910.34,.051380586
25,4480904,167113.81,.037294663
26,654883,5895.936,.0090030376
27,1187840,729.8396,.00061442587
28,2591657,25479.889,.0098315049
29,598388,11850.54,.019804107
30,107986,1868.3352,.017301643
31,509445,31523.635,.061878387
32,181894,16107.74,.088555641
33,232355,0,0
34,667111,1231.2275,.0018456113
35,809244,3458.0464,.0042731813
36,2580024,397631.22,.15411919
37,1764590,91.043343,.000051594616
38,230516,0,0
39,845058,2653.2764,.0031397566
40,3586998,0,0
41,1063853,71072.789,.066806965
42,1049667,1991.0027,.0018967945
43,2136890,252817.27,.11831085
44,938870,68511.961,.072972789
45,293270,12954.611,.044172984
46,919061,33988.883,.036982182
47,12976188,1216121,.093719438
48,659888,35273.297,.05345346
49,1527624,118419.7,.07751888
50,167271,0,0
51,3404544,160278,.047077671
52,1492786,29338.234,.019653343
53,1300638,0,0
54,687205,48761.688,.070956536
55,2116550,0,0
56,494247,0,0
57,477155,17546.066,.036772259
58,898005,50520.863,.056258999
59,944646,67074.617,.071005031
60,2525755,1139.6818,.00045122419
61,2954266,22641.125,.0076638749
62,2263682,59038.273,.02608064
63,167140,0,0
64,2587492,0,0
65,356250,19051.996,.053479288
66,820423,26346.123,.032112852
67,631556,9714.833,.015382377
68,508539,86015.43,.16914225
69,110117,9380.7178,.085188642
70,873501,30410.334,.034814309
71,1425490,41.414425,.000029052764
72,494619,10266.299,.020755973
73,722635,6697.4185,.0092680519
74,815428,140017.67,.17171066
75,538887,20691.367,.038396485
76,643705,17175.035,.026681531
77,1363157,0,0
78,402536,151968.5,.37752771
79,860632,9847.1621,.01144178
80,1109759,26842.572,.024187749
81,2014690,45303.34,.022486506
82,615179,4763.7256,.0077436413
