province,0
An Giang,10.00
B?c Giang,7.35
B?c Liêu,6.51
B?c Ninh,6.94
B?n Tre,10.00
Bà R?a - Vung Tàu,0.00
Bình Duong,7.42
Bình Phu?c,6.51
Bình Thu?n,8.95
Bình Ð?nh,10.87
Can Tho,10.00
Cao B?ng,7.63
Cà Mau,7.67
Dak Lak,6.53
Gia Lai,6.84
H? Chí Minh city,8.38
H?i Duong,10.07
H?i Phòng,6.51
Ha Noi,120.00
Ha Tinh,6.74
Hau Giang,10.00
Hà Giang,6.61
Hà Nam,13.92
Hòa Bình,7.96
Khánh Hòa,6.91
Kiên Giang,7.34
Kon Tum,7.25
L?ng Son,7.18
Lai Chau,6.61
Long An,7.61
Lào Cai,7.69
Lâm Ð?ng,6.66
Nam Ð?nh,20.18
Ngh? An,8.35
Ninh Bình,6.98
Ninh Thu?n,11.32
Phú Th?,8.22
Phú Yên,7.05
Qu?ng Bình,7.10
Qu?ng Ngãi,11.07
Qu?ng Ninh,0.00
Qu?ng Tr?,0.00
Quàng Nam,7.36
Son La,6.56
Sóc Trang,10.00
Th?a Thiên - Hu?,52.65
Thanh Hóa,8.13
Thái Bình,26.68
Thái Nguyên,8.38
Ti?n Giang,10.00
Trà Vinh,10.00
Tuyên Quang,7.27
Tây Ninh,8.36
Vinh Long,10.00
Vinh Phúc,8.50
Yên Bái,6.99
Ð?k Nông,6.51
Ð?ng B?ng Sông H?ng,8.48
Ð?ng Tháp,10.00
Ði?n Biên,6.63
Ðà N?ng,0.00
Ðông B?c,6.51
Ðông Nam B?,7.16
